Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
56;19298;"American Scientist";trade journal;"00030996";0,210;Q2;56;0;62;0;33;62;0,29;0,00;United States;"Sigma XI";"1948-1949, 1961-ongoing";"Multidisciplinary (Q2)"
57;75573;"Tianjin Daxue Xuebao (Ziran Kexue yu Gongcheng Jishu Ban)/Journal of Tianjin University Science and Technology";journal;"04932137";0,209;Q2;17;187;595;3627;215;595;0,29;19,40;China;"Tianjin Daxue/Tianjin University";"1982-1988, 2003-ongoing";"Multidisciplinary (Q2)"
58;31728;"Comptes Rendus de l 'Academie Bulgare des Sciences";journal;"13101331";0,205;Q2;16;206;622;3293;196;622;0,35;15,99;Bulgaria;"Academic Publishing House";"1977-1985, 2007-ongoing";"Multidisciplinary (Q2)"
59;19900191611;"Modern Applied Science";journal;"19131852, 19131844";0,202;Q2;21;0;153;0;160;153;0,00;0,00;Canada;"Canadian Center of Science and Education";"2011-2015 (cancelled)";"Multidisciplinary (Q2)"
60;22728;"Zhongshan Daxue Xuebao/Acta Scientiarum Natralium Universitatis Sunyatseni";journal;"05296579";0,201;Q2;10;104;444;2261;90;444;0,20;21,74;China;"Zhongshan Daxue Xue/Zhongshan University";"1980, 2001-ongoing";"Multidisciplinary (Q2)"
61;21100217212;"Journal of Zhejiang University, Science Edition";journal;"10089497";0,198;Q3;4;87;353;1725;47;353;0,14;19,83;China;"Zhejiang da xue xue bao bian ji bu";"2012-ongoing";"Multidisciplinary (Q3)"
62;19700175735;"Philippine Journal of Science";journal;"00317683";0,198;Q3;10;21;80;592;42;73;0,53;28,19;Philippines;"National Institute Of Science And Technology";"2009-ongoing";"Multidisciplinary (Q3); Social Sciences (miscellaneous) (Q3)"
63;24197;"Scientific American";journal;"00368733";0,196;Q3;83;142;1173;41;226;394;0,65;0,29;United States;"Scientific American Inc.";"1948-1950, 1958-ongoing";"Multidisciplinary (Q3)"
64;3900148502;"Songklanakarin Journal of Science and Technology";journal;"01253395";0,196;Q3;26;180;270;4837;153;270;0,47;26,87;Thailand;"Samnakngan Athikanbodi";"2006-ongoing";"Multidisciplinary (Q3)"
65;12634;"Early Science and Medicine";journal;"13837427, 15733823";0,194;Q3;17;12;65;896;19;63;0,34;74,67;Netherlands;"Brill";"1996-ongoing";"History (Q2); History and Philosophy of Science (Q3); Medicine (miscellaneous) (Q3); Multidisciplinary (Q3)"
66;21100199522;"Bulletin of the Georgian National Academy of Sciences";journal;"01321447";0,189;Q3;7;86;245;985;50;244;0,26;11,45;Georgia;"Georgian National Academy of Sciences";"2011-ongoing";"Multidisciplinary (Q3)"
67;145055;"Xi'an Shiyou Daxue Xuebao (Ziran Kexue Ban)/Journal of Xi'an Shiyou University, Natural Sciences Edition";journal;"1673064X";0,187;Q3;12;114;359;2007;74;359;0,21;17,61;China;"Xi'an Petroleum Institute";"2005-ongoing";"Multidisciplinary (Q3)"
68;23285;"Natures Sciences Societes";journal;"12401307, 17652979";0,178;Q3;16;30;142;930;44;118;0,25;31,00;France;"EDP Sciences";"1995-ongoing";"Agricultural and Biological Sciences (miscellaneous) (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Earth and Planetary Sciences (miscellaneous) (Q3); Environmental Science (miscellaneous) (Q3); Multidisciplinary (Q3); Social Sciences (miscellaneous) (Q3)"
69;4000151817;"ScienceAsia";journal;"15131874";0,178;Q3;24;39;173;1008;109;173;0,48;25,85;Thailand;"Thailand's National Science and Technology Development Agency";"2006-ongoing";"Multidisciplinary (Q3)"
70;17600155129;"Resonance";journal;"09718044";0,177;Q3;10;113;318;783;58;277;0,26;6,93;India;"Springer India";"1996, 2009-ongoing";"Multidisciplinary (Q3); Education (Q4)"
71;5800207374;"Journal of the National Science Foundation of Sri Lanka";journal;"13914588";0,176;Q3;13;48;137;1368;75;126;0,51;28,50;Sri Lanka;"National Science Foundation of Sri Lanka";"1999-ongoing";"Multidisciplinary (Q3)"
72;14038;"Shanghai Jiaotong Daxue Xuebao/Journal of Shanghai Jiaotong University";journal;"10062467";0,171;Q3;20;209;887;3910;273;887;0,29;18,71;China;"Shanghai Jiaotong University Press";"1998-ongoing";"Multidisciplinary (Q3)"
73;19400157142;"Chiang Mai University Journal of Natural Sciences";journal;"16851994";0,170;Q3;8;24;87;787;33;87;0,25;32,79;Thailand;"Chiang Mai University";"2009-ongoing";"Multidisciplinary (Q3)"
74;19900191882;"Journal of Sciences, Islamic Republic of Iran";journal;"10161104";0,170;Q3;7;27;90;892;51;90;0,47;33,04;Iran;"National Center for Scientific Research";"2011-ongoing";"Multidisciplinary (Q3)"
75;5700165172;"World Review of Science, Technology and Sustainable Development";journal;"17412242, 17412234";0,170;Q3;12;22;45;845;23;44;0,38;38,41;United Kingdom;"Inderscience Publishers";"2007-ongoing";"Multidisciplinary (Q3)"
76;22962;"Interciencia";journal;"03781844";0,169;Q3;32;130;342;4143;121;312;0,39;31,87;Venezuela;"Interciencia Association";"1979, 1981-1982, 1986, 1990, 1993, 1996-ongoing";"Multidisciplinary (Q3)"
